#{"t_start": 1772767974.6767714, "env_id": "marinenav_env-v0"}
r,l,t,is_success
-989.614247,1001,1.279359,False
-1015.806588,1001,2.423416,False
-679.294199,646,3.187662,False
-1096.468296,1001,4.314032,False
-148.192456,111,4.603085,False
-1050.390379,1001,5.704774,False
-1029.080667,1001,6.837659,False
-959.909825,1001,7.955353,False
-970.160103,1001,9.20483,False
-1064.168573,1001,10.324319,False
-1009.373166,1001,11.47204,False
-1031.69189,1001,12.746958,False
-132.312219,93,12.900493,False
-1033.910532,1001,13.974209,False
-253.667347,219,14.256253,False
-1061.36448,1001,15.351302,False
-71.479977,32,15.550843,False
-1030.518223,1001,16.635508,False
-264.891429,214,16.921342,False
-260.091909,240,17.211893,False
-978.892665,941,18.247056,False
-101.801795,69,18.368598,False
-559.776321,526,19.066195,False
-503.262862,482,19.621286,False
-1014.381681,1001,20.724001,False
-80.977703,44,20.820515,False
-1002.173388,1001,21.908613,False
-80.030016,44,22.007129,False
-256.900023,198,22.236176,False
-103.259453,84,22.455734,False
-1057.07866,1001,23.534668,False
-899.55142,869,24.522712,False
-416.794102,371,24.963502,False
-1041.710641,1001,26.05555,False
-803.30111,781,27.068345,False
-1096.573168,1001,28.179439,False
-113.446253,87,28.322956,False
-236.042405,197,28.543323,False
-416.924483,384,28.973425,False
-479.386778,442,29.465529,False
-858.294591,991,30.651533,True
-84.445946,49,30.752055,False
-171.098889,116,30.884598,False
-1012.541185,1001,31.974401,False
-290.328423,227,32.262901,False
-1095.476806,1001,33.31859,False
-1093.202962,1001,34.556215,False
-47.398639,8,34.612721,False
-996.801956,1001,35.69009,False
54.690289,82,35.8266,True
-973.688853,1001,36.908276,False
-839.044552,970,38.09203,True
-496.576641,456,38.631776,False
-79.403426,42,38.700476,False
-588.316994,733,39.499559,True
-1078.645798,1001,40.575467,False
-516.843489,477,41.255185,False
-52.627607,18,41.299695,False
-550.245277,504,41.828773,False
-26.943199,159,42.034139,True
-122.238879,84,42.134011,False
-98.494331,45,42.190529,False
-1020.519424,1001,43.234129,False
-320.72023,289,43.588692,False
-1073.037298,1001,44.636653,False
-1038.821452,1001,45.861278,False
-71.437905,210,46.133037,True
-95.602421,231,46.397813,True
-367.449561,329,46.75528,False
-82.461631,42,46.817166,False
-1041.07939,1001,47.873264,False
-158.453905,126,48.053778,False
-1020.157616,1001,49.100946,False
-36.754414,167,49.442028,True
-1026.725082,1001,50.506822,False
-124.109294,86,50.657126,False
-1006.777626,1001,51.729808,False
-84.755383,49,51.830328,False
-330.252821,307,52.161064,False
-1037.375496,1001,53.323548,False
-205.545329,175,53.560986,False
-95.145267,80,53.657404,False
-217.721105,180,53.861433,False
-1058.21169,1001,54.92526,False
-65.039348,21,54.99478,False
-485.455613,461,55.485336,False
-499.39539,478,56.01176,False
-1026.103639,1001,57.206048,False
-60.767417,16,57.27005,False
