#{"t_start": 1772767812.3438518, "env_id": "marinenav_env-v0"}
r,l,t,is_success
-294.846605,239,4.825822,False
-1024.590985,1001,6.748987,False
-103.64108,77,7.054533,False
-726.71591,667,8.349612,False
-132.367811,101,9.868239,False
-297.011099,259,10.376102,False
-324.081292,291,10.94977,False
-408.735584,370,11.674057,False
-60.175439,22,11.738283,False
-88.231534,61,11.865075,False
-66.635281,31,11.936102,False
-216.061378,156,12.242167,False
40.510269,94,12.455198,True
-336.712123,322,13.086704,False
-109.827363,84,13.266238,False
-225.456227,193,13.653869,False
-71.084807,38,13.741385,False
-136.980211,93,14.918521,False
-233.841793,198,15.315278,False
-123.567575,91,15.512159,False
-110.415022,78,15.67567,False
-85.253978,53,15.795249,False
4.746754,126,16.059783,True
-140.296027,109,16.29605,False
-275.764471,252,16.823251,False
-49.708056,12,16.862251,False
-50.578373,23,16.915779,False
-18.975562,154,17.238877,True
85.121045,44,17.339307,True
-96.61376,76,17.503844,False
-517.904212,486,18.656375,False
-128.051178,88,18.864402,False
-140.667168,274,20.528154,True
-134.143686,108,20.770211,False
-107.596682,72,20.929241,False
-68.722527,19,20.97424,False
94.921861,37,21.054759,True
82.782152,46,21.154152,True
-114.990013,86,21.336184,False
-82.746102,44,21.433561,False
-263.997999,233,21.91965,False
37.347004,105,22.148144,True
-81.752644,42,22.248661,False
-114.857295,94,22.459691,False
-176.58128,147,22.793129,False
-293.278652,240,23.322816,False
-68.285749,23,23.386814,False
-67.387928,204,23.835925,True
-82.967064,53,23.970454,False
-81.122583,57,24.104981,False
10.019285,123,24.386096,True
-247.842752,215,24.881316,False
-89.308845,57,25.023877,False
-311.986696,449,27.079036,True
-444.462604,412,27.959296,False
77.304434,59,28.122342,True
28.803761,106,28.354592,True
-276.657062,251,28.91294,False
-78.34746,33,28.999452,False
-131.582489,264,29.589366,True
79.155063,52,29.720394,True
-63.594335,11,29.751392,False
25.679897,124,30.032959,True
-54.082104,24,30.095959,False
93.138855,43,30.19648,True
26.790488,103,30.433021,True
-90.69816,229,32.048797,True
-191.030754,164,32.513772,False
-147.798459,108,32.750335,False
-84.226928,44,32.850908,False
35.289845,96,33.049627,True
-64.473835,202,33.479331,True
-66.285732,29,33.551966,False
-60.473022,25,33.608495,False
71.298699,77,33.778057,True
-69.176497,34,33.858604,False
-370.545994,510,34.990725,True
91.932872,37,35.099245,True
-246.948016,389,35.98274,True
-135.484853,273,37.717557,True
-74.663989,46,37.832495,False
44.108461,105,38.07516,True
65.916076,79,38.245154,True
94.263462,45,38.346671,True
55.502458,79,38.514756,True
-91.695267,60,38.651786,False
-96.039767,75,38.818812,False
-48.025399,8,38.841817,False
87.642408,49,38.948333,True
-69.704139,30,39.018843,False
-985.941387,1001,41.266701,False
-83.988925,50,41.442746,False
-65.750568,25,41.517747,False
23.002092,114,41.792877,True
-49.642932,18,41.844396,False
-51.493046,20,41.898396,False
-74.181967,31,41.976925,False
41.454506,92,42.197926,True
-204.605566,166,43.689478,False
72.966548,60,43.827534,True
-56.299112,24,43.883548,False
78.57956,59,44.010052,True
84.978128,48,44.11858,True
-92.294622,64,44.255853,False
80.734313,52,44.372582,True
-64.511291,36,44.46261,False
96.657121,42,44.558141,True
104.846074,28,44.623676,True
-59.676019,38,44.708679,False
90.947772,38,44.79319,True
-67.662043,28,44.859725,False
-88.032883,63,44.997236,False
-60.376372,40,45.085655,False
94.815365,35,45.161688,True
91.528745,45,45.261955,True
74.43037,55,45.388483,True
108.406166,32,45.464955,True
45.764903,86,45.662166,True
60.11885,96,45.885224,True
-80.099843,41,45.98474,False
-97.947482,70,46.154718,False
53.555146,75,46.331741,True
65.346874,65,46.488904,True
67.817326,64,46.657862,True
-47.064241,7,46.678868,False
30.831526,110,46.931098,True
-118.539361,69,47.096464,False
-63.831913,32,47.175984,False
-65.276069,29,47.247504,False
-77.159433,38,47.344668,False
109.201025,21,47.401671,True
89.115562,63,47.548697,True
-80.567226,55,47.691219,False
-53.858421,15,47.732752,False
90.701135,43,47.842293,True
-71.978869,48,47.967809,False
-61.668906,27,48.043143,False
-51.203532,18,48.093143,False
-44.2244,10,48.121651,False
64.8884,73,48.306126,True
-54.286108,24,48.376648,False
81.217742,47,49.642102,True
-48.251388,10,49.668102,False
-59.034492,32,49.742615,False
-69.958754,35,49.822127,False
-45.068716,14,49.856133,False
-76.168592,35,49.935649,False
100.444694,39,50.023157,True
47.091585,99,50.232256,True
90.781517,40,50.324771,True
106.199895,23,50.377771,True
-57.540781,18,50.420778,False
79.251788,58,50.548802,True
-56.035425,16,50.588802,False
100.05405,48,50.696825,True
72.378965,66,50.840787,True
105.229874,26,50.901919,True
82.340173,56,51.028486,True
86.627433,57,51.157524,True
72.15064,64,51.303046,True
-46.789901,17,51.346571,False
-58.258318,13,51.383568,False
99.653924,32,51.45982,True
80.520713,58,51.593347,True
-77.67276,37,51.680387,False
85.917627,52,51.809925,True
103.03631,38,51.906373,True
-74.657112,34,51.987899,False
-71.999357,36,52.075426,False
-48.902472,24,52.134471,False
100.953071,32,52.211479,True
